"","modelType","seed","nCellType","nSample","Batch","CancerType","ARI"
"271","HighVar0.3","1732166045",10,20,TRUE,TRUE,0.775779785748643
"272","HighVar0.4","1732166045",10,20,TRUE,TRUE,0.781421561725174
"273","NullModel","1732166045",10,20,TRUE,TRUE,0.869269205993802
"274","HighVar0.1","1732166052",10,20,TRUE,TRUE,0.756990786367407
"275","HighVar0.16","1732166052",10,20,TRUE,TRUE,0.820678417103202
"276","HighVar0.23","1732166052",10,20,TRUE,TRUE,0.810901963965824
"277","HighVar0.3","1732166052",10,20,TRUE,TRUE,0.783210742848765
"278","HighVar0.4","1732166052",10,20,TRUE,TRUE,0.79295959155969
"279","NullModel","1732166052",10,20,TRUE,TRUE,0.776532826616877
"280","HighVar0.1","1732166071",10,20,TRUE,TRUE,0.768422562432733
"281","HighVar0.16","1732166071",10,20,TRUE,TRUE,0.763296336577036
"282","HighVar0.23","1732166071",10,20,TRUE,TRUE,0.749379345788772
"283","HighVar0.3","1732166071",10,20,TRUE,TRUE,0.787603342286627
"284","HighVar0.4","1732166071",10,20,TRUE,TRUE,0.773078928407545
"285","NullModel","1732166071",10,20,TRUE,TRUE,0.772831456463181
"286","HighVar0.1","1732166093",10,20,TRUE,TRUE,0.632925576185076
"287","HighVar0.16","1732166093",10,20,TRUE,TRUE,0.668038288381194
"288","HighVar0.23","1732166093",10,20,TRUE,TRUE,0.651865730899437
"289","HighVar0.3","1732166093",10,20,TRUE,TRUE,0.631841344170691
"290","HighVar0.4","1732166093",10,20,TRUE,TRUE,0.730483056220252
"291","NullModel","1732166093",10,20,TRUE,TRUE,0.801218774253542
"292","HighVar0.1","1732162017",15,20,TRUE,TRUE,0.716071610302208
"293","HighVar0.16","1732162017",15,20,TRUE,TRUE,0.665673070576747
"294","HighVar0.23","1732162017",15,20,TRUE,TRUE,0.721584604395276
"295","HighVar0.3","1732162017",15,20,TRUE,TRUE,0.692002452474909
"296","HighVar0.4","1732162017",15,20,TRUE,TRUE,0.728454982888297
"297","NullModel","1732162017",15,20,TRUE,TRUE,0.743371392238116
"298","HighVar0.1","1732162021",15,20,TRUE,TRUE,0.889729170698662
"299","HighVar0.16","1732162021",15,20,TRUE,TRUE,0.900812041448718
"300","HighVar0.23","1732162021",15,20,TRUE,TRUE,0.934238118351521
"301","HighVar0.3","1732162021",15,20,TRUE,TRUE,0.892903539051915
"302","HighVar0.4","1732162021",15,20,TRUE,TRUE,0.891487136063074
"303","NullModel","1732162021",15,20,TRUE,TRUE,0.867033423113345
"304","HighVar0.1","1732162023",15,20,TRUE,TRUE,0.742285922754113
"305","HighVar0.16","1732162023",15,20,TRUE,TRUE,0.673281323689992
"306","HighVar0.23","1732162023",15,20,TRUE,TRUE,0.678521741139231
"307","HighVar0.3","1732162023",15,20,TRUE,TRUE,0.641223225189222
"308","HighVar0.4","1732162023",15,20,TRUE,TRUE,0.699953142646236
"309","NullModel","1732162023",15,20,TRUE,TRUE,0.761972968766951
"310","HighVar0.1","1732162024",15,20,TRUE,TRUE,0.774569118066838
"311","HighVar0.16","1732162024",15,20,TRUE,TRUE,0.805321597779899
"312","HighVar0.23","1732162024",15,20,TRUE,TRUE,0.82647809775367
"313","HighVar0.3","1732162024",15,20,TRUE,TRUE,0.764845096218391
"314","HighVar0.4","1732162024",15,20,TRUE,TRUE,0.865188458469507
"315","NullModel","1732162024",15,20,TRUE,TRUE,0.839165590206484
"316","HighVar0.1","1732162027",15,20,TRUE,TRUE,0.577353118016218
"317","HighVar0.16","1732162027",15,20,TRUE,TRUE,0.592145084413423
"318","HighVar0.23","1732162027",15,20,TRUE,TRUE,0.599490674903364
"319","HighVar0.3","1732162027",15,20,TRUE,TRUE,0.518040946079323
"320","HighVar0.4","1732162027",15,20,TRUE,TRUE,0.573475018475522
"321","NullModel","1732162027",15,20,TRUE,TRUE,0.577506126331182
"322","HighVar0.1","1732162038",15,20,TRUE,TRUE,0.841863809532173
"323","HighVar0.16","1732162038",15,20,TRUE,TRUE,0.812436037748088
"324","HighVar0.23","1732162038",15,20,TRUE,TRUE,0.78573520588065
"325","HighVar0.3","1732162038",15,20,TRUE,TRUE,0.831577861524401
"326","HighVar0.4","1732162038",15,20,TRUE,TRUE,0.843702233699085
"327","NullModel","1732162038",15,20,TRUE,TRUE,0.744239292075551
"328","HighVar0.1","1732162042",15,20,TRUE,TRUE,0.757624668089096
"329","HighVar0.16","1732162042",15,20,TRUE,TRUE,0.769541679327829
"330","HighVar0.23","1732162042",15,20,TRUE,TRUE,0.8358420573248
"331","HighVar0.3","1732162042",15,20,TRUE,TRUE,0.781913095672979
"332","HighVar0.4","1732162042",15,20,TRUE,TRUE,0.828677520444639
"333","NullModel","1732162042",15,20,TRUE,TRUE,0.780688493595484
"334","HighVar0.1","1732162045",15,20,TRUE,TRUE,0.785933661693961
"335","HighVar0.16","1732162045",15,20,TRUE,TRUE,0.775279344629294
"336","HighVar0.23","1732162045",15,20,TRUE,TRUE,0.782055830925402
"337","HighVar0.3","1732162045",15,20,TRUE,TRUE,0.757888862419916
"338","HighVar0.4","1732162045",15,20,TRUE,TRUE,0.719287164539522
"339","NullModel","1732162045",15,20,TRUE,TRUE,0.76627976182212
"340","HighVar0.1","1732165685",15,20,TRUE,TRUE,0.656324355138057
"341","HighVar0.16","1732165685",15,20,TRUE,TRUE,0.714460184595868
"342","HighVar0.23","1732165685",15,20,TRUE,TRUE,0.686807194907758
"343","HighVar0.3","1732165685",15,20,TRUE,TRUE,0.699491163578506
"344","HighVar0.4","1732165685",15,20,TRUE,TRUE,0.600382614613324
"345","NullModel","1732165685",15,20,TRUE,TRUE,0.659737656554298
"346","HighVar0.1","1732165687",15,20,TRUE,TRUE,0.664654629480419
"347","HighVar0.16","1732165687",15,20,TRUE,TRUE,0.642336730075628
"348","HighVar0.23","1732165687",15,20,TRUE,TRUE,0.603971412238789
"349","HighVar0.3","1732165687",15,20,TRUE,TRUE,0.586139204816352
"350","HighVar0.4","1732165687",15,20,TRUE,TRUE,0.58067478329971
"351","NullModel","1732165687",15,20,TRUE,TRUE,0.636920515124831
"352","HighVar0.1","1732165690",15,20,TRUE,TRUE,0.66254514714453
"353","HighVar0.16","1732165690",15,20,TRUE,TRUE,0.689889384415825
"354","HighVar0.23","1732165690",15,20,TRUE,TRUE,0.676172306272242
"355","HighVar0.3","1732165690",15,20,TRUE,TRUE,0.678830806366031
"356","HighVar0.4","1732165690",15,20,TRUE,TRUE,0.636528202289657
"357","NullModel","1732165690",15,20,TRUE,TRUE,0.668082321040979
"358","HighVar0.1","1732165702",15,20,TRUE,TRUE,0.651206839809884
"359","HighVar0.16","1732165702",15,20,TRUE,TRUE,0.634961394313172
"360","HighVar0.23","1732165702",15,20,TRUE,TRUE,0.645479380402053
"361","HighVar0.3","1732165702",15,20,TRUE,TRUE,0.639169309916259
"362","HighVar0.4","1732165702",15,20,TRUE,TRUE,0.650217495084187
"363","NullModel","1732165702",15,20,TRUE,TRUE,0.614363736020067
"364","HighVar0.1","1732165706",15,20,TRUE,TRUE,0.62352199675328
"365","HighVar0.16","1732165706",15,20,TRUE,TRUE,0.655040082711746
"366","HighVar0.23","1732165706",15,20,TRUE,TRUE,0.66248405845187
"367","HighVar0.3","1732165706",15,20,TRUE,TRUE,0.659421355575785
"368","HighVar0.4","1732165706",15,20,TRUE,TRUE,0.648855509836988
