"","scSTMType","modelType","seed","nCellType","nSample","Batch","CancerType","Num_iter","Num_init","method","init_llh","llh5","llh10","llh15","llh30","llh50","max_llh","pooled_scSTMseq"
"117","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"Random",-1044982573.34503,-824865615.966964,-822516930.408052,-821732124.916382,-820787959.215557,-820325873.24131,-820168342.106185,0.701101088756694
"118","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"Random",-1041607093.67667,-825061721.73412,-822353068.35252,-821531265.815644,-820740574.685268,-820436222.401588,-820153820.489034,0.71178366583691
"119","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"Random",-1046416001.09611,-825517086.859983,-822912629.311542,-822018179.5825,-820931475.341085,-820570029.012416,-820162796.00429,0.685880277972633
"120","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"Random",-1044586113.87925,-825696105.443768,-822916231.562503,-821948909.245734,-820839403.376945,-820340244.852453,-820118715.831231,0.840883719033865
"121","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"Random",-1048153604.16695,-826096463.859194,-823214198.771139,-822327511.070844,-821162462.297554,-820655255.663608,-820243632.364794,0.614001843805575
"122","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"Random",-1047754776.81463,-826097785.784407,-823007955.473951,-822015219.503828,-820951585.47731,-820449040.267204,-820196489.642498,0.640968584420593
"123","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"Random",-1045775166.17229,-826133257.877386,-823156353.878854,-822061619.899838,-820825188.102379,-820309194.673368,-820106501.679581,0.715199423284389
"124","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"Random",-1048872048.62851,-826217677.095209,-823137785.297588,-822117349.763428,-821013772.132892,-820461716.075825,-820149287.570253,0.781539832387781
"125","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"Random",-1051148899.57222,-826255259.137505,-823252547.208594,-822087249.075304,-820891955.302233,-820439851.082719,-820134788.875874,0.728693909799994
"126","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,5,10,"Random",-1049389871.55235,-826301398.579964,-823111774.219771,-822024320.18158,-820842996.382636,-820319401.526336,-820226818.696037,0.72314189234468
"127","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763236",10,10,TRUE,TRUE,5,10,"TopicScore",-723412359.677895,-720858118.660151,-720324659.075023,-720169512.47253,-720007470.490297,-719891430.18826,-719851940.300662,0.95486331825726
"128","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763236",10,10,TRUE,TRUE,5,10,"TopicScore",-723412213.128011,-720858458.024412,-720324742.851379,-720169434.71466,-720008446.269601,-719891369.393303,-719849332.663907,0.95486331825726
"129","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763236",10,10,TRUE,TRUE,5,10,"TopicScore",-723538078.545776,-721095701.232899,-720600257.039466,-720424469.605993,-720242917.519437,-720139356.775612,-719968076.686008,0.842910354206253
"130","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763236",10,10,TRUE,TRUE,5,10,"TopicScore",-723537986.248868,-721096113.086007,-720600783.252077,-720424665.369914,-720242844.818521,-720139414.099962,-719967916.081984,0.842184793725097
"131","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763236",10,10,TRUE,TRUE,5,10,"TopicScore",-723536862.153065,-721097436.520749,-720602137.601069,-720424885.044911,-720240553.347153,-720138754.39614,-719967664.309406,0.843059494329001
"132","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763236",10,10,TRUE,TRUE,5,10,"TopicScore",-723536847.448544,-721097688.247402,-720602066.980376,-720424971.895776,-720240926.116209,-720139208.756877,-719970353.673028,0.842852101015774
"133","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763236",10,10,TRUE,TRUE,5,10,"TopicScore",-723536938.610632,-721097927.028299,-720602374.435093,-720424868.387456,-720241380.957262,-720138922.112849,-719968391.059049,0.843042241837657
